Txn Hash,Method,Block,Age,From,To,Value,Txn Fee
0x960d0eb7a13d59f238af40ea76df8275dca8be24bf3603a12e80184e6f349d4c,Transfer,19377565,3/6/2024 17:16,0x7Ac0853A...27BaCd286 ,0xb7efc063...99CD1e817 ,1.661604875,0.00372626
0x86e944c1db0dec029d6e249026daed34cbb7b3fc5b6d7999e671b37656dd88e6,Flush Forwarder ...,19377565,3/6/2024 17:16,CoinList 3 ,CoinList 2 ,0,0.00724858
0x97e8fae902711f8c70d8238827b0394337090f426034fd15f9ddae03faa34800,Transfer,19377565,3/6/2024 17:16,0x0C97c77c...393d61327 ,Circle: USDC Token ,0,0.00508149
0xd106e56cb2e35069ee594e569dd42e782ef1dec933ac6491ccb390b65549390b,Start Bridge Tok...,19377565,3/6/2024 17:16,0x5ECB610b...337e40770 ,LI.FI: LiFi Diamond ,0,0.01447926
0x397dfd9a341347f6206f4375ce09a17392af75b1c2cc941d2388bdb203a7ed87,Execute,19377565,3/6/2024 17:16,0x18a75c98...5B7A6811c ,Uniswap: Universal Router ,0.6,0.01477297
0x03badb1cf3066cf4d3ff0603a4b1815ca83d182e5eda5788e87ac42ebb84ba87,Execute,19377565,3/6/2024 17:16,0x3aC15B7F...5fF4cF72a ,Uniswap: Universal Router ,0,0.01826422
0x4bd1c019dabb39be9e8aae254c4c49a42d30779f35a9fd0da6c6ad3598cc4ac0,Execute,19377565,3/6/2024 17:16,0x76B2a9C7...73cbAE777 ,Uniswap: Universal Router ,0.9,0.01647023
0x3676df721a4dfeb84c73fff60324843e982abb5245cf5d61fe1b49611027c136,Swap Exact ETH F...,19377565,3/6/2024 17:16,0x42CEF6Dc...92271C5c3 ,Uniswap V2: Router 2 ,0.5,0.01753113
0x1877f6a3b0b280346184837c18d35da06d230d88a23fd3bc265be659c8ce4190,Execute,19377565,3/6/2024 17:16,0x53CFbD6B...391826D6C ,Uniswap: Universal Router ,0,0.02092051
0x53e115f68763313e1f9bdc7d11d6011b3b94f37e978f126af5ae49f449497a59,Execute,19377565,3/6/2024 17:16,0x6CBde808...636975870 ,Uniswap: Universal Router ,0.6,0.0212889
0xab80d72e3fb25c0b39dcd0b70400b931c31a0948d104f4ddfea87c5c4eb42879,Swap,19377565,3/6/2024 17:16,0xdcfEB10A...0f052f0Fa ,Metamask: Swap Router ,0.3,0.01887811
