Movie Name,Genre,Studio,Country,Primary Language,Release Year,Duration,Avg Rating,Raters,Fans,Watched,Lists,Likes
The Disaster Artist,Drama,New Line Cinema,USA,English,2017,"
					
					104 mins",3.56,"332,786 ratings",339 fans,"520,808 members","66,516 lists","119,865 members"
The King of Comedy,Comedy,Embassy International Pictures,USA,English,1982,"
					
					109 mins",4.24,"258,736 ratings",3.1K fans,"341,086 members","106,926 lists","122,767 members"
A Silent Voice,Drama,Kyoto Animation,Japan,Japanese,2016,"
					
					130 mins",4.16,"340,355 ratings",14K fans,"491,512 members","71,299 lists","177,636 members"
Melancholia,Drama,Zentropa Entertainments,Denmark,English,2011,"
					
					136 mins",3.84,"229,539 ratings",5.1K fans,"358,565 members","83,959 lists","99,214 members"
The Mummy,Fantasy,Alphaville Films,USA,English,1999,"
					
					124 mins",3.52,"367,356 ratings",5.3K fans,"730,433 members","69,528 lists","148,917 members"
Scooby-Doo,Comedy,Mosaic Media Group,USA,English,2002,"
					
					88 mins",3.26,"377,658 ratings",4.7K fans,"802,516 members","71,359 lists","157,071 members"
Justice League,Adventure,RatPac Entertainment,USA,English,2017,"
					
					120 mins",1.93,"461,145 ratings",93 fans,"752,521 members","94,120 lists","50,913 members"
The Trial of the Chicago 7,History,DreamWorks Pictures,USA,English,2020,"
					
					130 mins",3.74,"332,389 ratings",1.2K fans,"459,565 members","72,142 lists","114,816 members"
Burning,Thriller,Pinehouse Film,Japan,Korean,2018,"
					
					148 mins",4.06,"229,298 ratings",6.2K fans,"306,154 members","93,995 lists","101,267 members"
Runaway Train,Drama,Golan-Globus Productions,USA,English,1985,"
					
					111 mins",3.64,"16,340 ratings",59 fans,"23,205 members","9,551 lists","5,391 members"
Chernobyl Diaries,Thriller,Oren Peli / Brian Witten Pictures,USA,English,2012,"
					
					88 mins",2.13,"30,040 ratings",17 fans,"48,708 members","6,967 lists","3,580 members"
Daaaaaalí!,Comedy,Atelier de Production,France,French,2023,"
					
					77 mins",3.5,"19,578 ratings",39 fans,"23,264 members","5,851 lists","5,634 members"
The Pink Panther 2,Mystery,Metro-Goldwyn-Mayer,USA,English,2009,"
					
					92 mins",2.52,"31,174 ratings",31 fans,"73,816 members","4,999 lists","5,337 members"
Cleaners,Comedy,Dambuhala Productions,Philippines,Tagalog,2019,"
					
					78 mins",3.98,"6,236 ratings",466 fans,"7,881 members","5,273 lists","3,922 members"
Stigmata,Horror,FGM Entertainment,USA,English,1999,"
					
					103 mins",2.78,"24,227 ratings",71 fans,"47,296 members","7,485 lists","5,034 members"
The Savages,Comedy,Fox Searchlight Pictures,USA,English,2007,"
					
					114 mins",3.64,"14,268 ratings",28 fans,"23,210 members","7,764 lists","4,020 members"
Wonder Wheel,Drama,Gravier Productions,USA,English,2017,"
					
					101 mins",2.91,"23,864 ratings",13 fans,"35,524 members","6,968 lists","3,895 members"
Night and the City,Drama,20th Century Fox,UK,English,1950,"
					
					95 mins",4.02,"13,421 ratings",46 fans,"19,558 members","13,716 lists","5,694 members"
Spin Me Round,Romance,Duplass Brothers Productions,Italy,English,2022,"
					
					104 mins",2.66,"16,614 ratings",5 fans,"21,423 members","4,748 lists","2,862 members"
The Fits,Drama,Yes Ma'am Productions,USA,English,2015,"
					
					72 mins",3.61,"14,149 ratings",37 fans,"19,986 members","10,614 lists","4,819 members"
The Girl Who Played with Fire,Drama,Nordisk Film Denmark,Denmark,Swedish,2009,"
					
					130 mins",3.48,"25,141 ratings",12 fans,"46,445 members","7,005 lists","6,187 members"
Le Doulos,Thriller,Rome-Paris Films,France,French,1962,"
					
					108 mins",3.91,"13,404 ratings",37 fans,"19,391 members","11,442 lists","5,015 members"
Wrong Turn 2: Dead End,Horror,20th Century Fox,Germany,English,2007,"
					
					96 mins",2.66,"27,138 ratings",43 fans,"44,032 members","9,962 lists","5,714 members"
The Back-Up Plan,Comedy,Escape Artists,USA,English,2010,"
					
					106 mins",2.55,"25,170 ratings",30 fans,"61,499 members","6,437 lists","5,123 members"
Blue Streak,Comedy,Columbia Pictures,USA,English,1999,"
					
					93 mins",3.0,"29,471 ratings",90 fans,"52,191 members","5,406 lists","7,286 members"
