Movie Name,Genre,Studio,Country,Primary Language,Release Year,Avg Rating,Raters,Fans,Watched,Lists,Likes,Duration (minutes)
The Hand that Rocks the Cradle,Thriller,Hollywood Pictures,USA,English,1992,3.32,24442,56,41277,8204,6463,110
Charlie St. Cloud,Romance,Marc Platt Productions,USA,English,2010,2.8,31066,55,79363,5951,6324,99
Love and Leashes,Comedy,See Át Film,South Korea,Korean,2022,3.07,25564,56,35130,5407,6309,118
Endless Poetry,Fantasy,Openvizor,UK,Spanish,2016,3.88,11035,284,16542,6971,5271,130
Drop Dead Fred,Comedy,New Line Cinema,UK,English,1991,2.98,24151,539,47018,8730,8975,103
Great Expectations,History,Cineguild,UK,English,1946,3.78,12922,38,22053,18327,4095,118
Mafia Mamma,Action,Idea(L),UK,English,2023,2.66,19706,11,24994,7427,4790,101
Samurai Cop,Thriller,Hollywood Royal Pictures,USA,English,1991,2.56,18841,109,28067,8540,7760,96
Bleed for This,Drama,Sikelia Productions,USA,English,2016,3.36,22425,70,30133,5313,5981,116
Black Is King,Music,Parkwood Entertainment,USA,English,2020,4.0,21008,132,30121,6151,10676,85
Vacation Friends,Comedy,Broken Road Productions,USA,English,2021,2.75,27504,5,35484,6280,6029,103
Hell House LLC Origins: The Carmichael Manor,Mystery,Cognetti Films,USA,English,2023,3.14,22127,17,25684,8005,6257,98
Justice League vs. Teen Titans,Animation,DC Comics,USA,English,2016,3.09,29669,20,45428,10799,7559,78
Benny & Joon,Comedy,Roth-Arnold Productions,USA,English,1993,3.42,23854,224,49407,7828,9355,98
A Christmas Story Christmas,Comedy,Wild West Picture Show Productions,USA,English,2022,2.92,24750,0,31124,8618,6383,98
Grand Hotel,Romance,Metro-Goldwyn-Mayer,USA,English,1932,3.54,13901,39,21372,17388,4090,112
Dinner in America,Comedy,Red Hour,USA,English,2020,3.79,14960,428,18151,5857,7458,106
The Jacket,Drama,Section Eight,Germany,English,2005,3.22,22357,98,37944,6788,5107,103
Deuce Bigalow: Male Gigolo,Comedy,Quinta Communications,USA,English,1999,2.33,34301,18,73648,5585,5323,88
Swan Song,Science Fiction,Anonymous Content,USA,English,2021,3.52,17278,74,20949,6507,5284,112
The Gate,Horror,New Century Entertainment Corporation,Canada,English,1987,3.18,20005,33,29743,11765,7045,86
Don’t Tell Mom the Babysitter’s Dead,Comedy,Outlaw Productions,USA,English,1991,3.15,22734,154,44010,8128,8510,105
The Lion in Winter,Drama,AVCO Embassy Pictures,UK,English,1968,3.99,13018,265,19918,14867,5545,134
Monsieur Verdoux,Crime,Charles Chaplin Productions,USA,English,1947,3.95,14489,77,22653,17886,5790,124
Barefoot Gen,War,Gen Productions,Japan,Japanese,1983,3.94,11512,28,17100,8659,4383,83
Manjummel Boys,Drama,Parava Films,India,Malayalam,2024,3.97,24154,116,27575,3235,13057,135
Pump Up the Volume,Drama,New Line Cinema,Canada,English,1990,3.68,17871,344,29099,9218,8488,105
Barefoot in the Park,Romance,Nancy Enterprises Inc. (I),USA,English,1967,3.51,17215,209,28135,8641,7233,106
The Blood on Satan’s Claw,Horror,Tigon British Film Productions,UK,English,1971,3.3,14618,32,19833,12281,4916,97
Baskin,Horror,XYZ Films,Turkey,Turkish,2015,3.04,18229,31,24356,9112,4410,97
Your Highness,Action,Universal Pictures,USA,English,2011,2.22,32303,21,59651,5930,4139,102
The Wedding Banquet,Romance,Ang Lee Productions,Taiwan,Chinese,1993,3.79,14105,64,21237,12652,5396,109
Flux Gourmet,Horror,Red Breast Productions,UK,English,2022,3.29,13003,29,16813,8230,3805,112
Pathaan,Adventure,Yash Raj Films,India,Hindi,2023,2.9,24135,22,31033,6369,5701,146
Eating Raoul,Comedy,20th Century Fox,USA,English,1982,3.48,15008,44,21986,11950,5973,87
Fahrenheit 451,Drama,HBO Films,USA,English,2018,2.28,23987,8,35066,5142,2296,100
"Alice, Darling",Drama,Babe Nation Films,Canada,English,2022,2.98,21006,11,25565,5684,3824,90
The Bar,Comedy,Nadie es Perfecto,Spain,Spanish,2017,3.04,30641,25,44748,6034,6034,102
I.S.S.,Science Fiction,LD Entertainment,USA,English,2023,2.49,20450,2,23217,7808,2825,96
Carnal Knowledge,Romance,AVCO Embassy Pictures,USA,English,1971,3.62,14083,35,20816,10160,4521,98
On the Town,Romance,Metro-Goldwyn-Mayer,USA,English,1949,3.61,15723,48,27196,14970,5977,98
The Young Victoria,Romance,GK Films,UK,English,2009,3.42,23680,116,42668,7894,6804,105
Shadows in Paradise,Comedy,Villealfa Filmproductions,Finland,Finnish,1986,3.84,17346,200,24501,7065,7620,74
Heavyweights,Comedy,Walt Disney Pictures,USA,English,1995,3.2,26152,213,50453,7582,9347,100
Wilde,History,Dove International,Germany,English,1997,3.29,12729,48,21292,5724,3541,118
Tell It to the Bees,Romance,Taking a Line for a Walk Productions,UK,English,2018,3.13,16278,142,22695,8613,5054,106
Benediction,Drama,Bankside Films,UK,English,2021,3.56,11624,45,15038,8765,3768,137
The One,Thriller,Revolution Studios,USA,English,2001,2.78,27857,28,53103,6320,6515,87
Night School,Comedy,HartBeat Productions,USA,English,2018,2.29,33475,10,54741,6098,4534,111
Everything Is Illuminated,Drama,Stillking Films,USA,English,2005,3.64,18386,291,34969,5630,6957,106
The Cheetah Girls 2,Drama,BrownHouse Productions,USA,English,2006,3.09,24441,153,83470,8746,8504,96
Phase IV,Science Fiction,Paramount,UK,English,1974,3.48,13168,68,18532,11010,4908,86
The Spanish Apartment,Romance,Mate Producciones S.A.,France,French,2002,3.61,23029,388,39731,6468,8762,122
Shin Ultraman,Action,Tsuburaya Productions,Japan,Japanese,2022,3.55,16588,112,20435,7418,7780,112
The Magician,Drama,SF Studios,Sweden,Swedish,1958,3.79,12153,46,17954,12310,4245,101
Dave Made a Maze,Adventure,Foton Pictures,USA,English,2017,3.32,18602,63,23985,8077,6755,80
It Could Happen to You,Comedy,TriStar Pictures,USA,English,1994,3.09,23451,39,40124,6613,5960,101
The Train,Thriller,Les Productions Artistes Associés,France,English,1964,4.05,12824,82,17386,11136,5620,133
Superman: Red Son,Animation,Warner Bros. Animation,USA,English,2020,3.05,25766,10,35544,8520,6349,84
Star Trek: Nemesis,Action,Paramount,USA,English,2002,2.66,28539,23,52598,11317,4712,116
Beavis and Butt-Head Do the Universe,Animation,MTV Entertainment Studios,USA,English,2022,3.39,23395,19,29059,7278,8512,86
Tumbbad,Fantasy,Filmgate Films,India,Hindi,2018,3.65,18749,221,24918,8731,8608,113
The Most Dangerous Game,Action,RKO Radio Pictures,USA,English,1932,3.43,17855,10,26162,11801,5388,63
Teenage Mutant Ninja Turtles III,Adventure,Clearwater Holdings Limited,Hong Kong,English,1993,2.16,29575,26,55955,11367,4814,96
Paradise Hills,Science Fiction,Nostromo Pictures,Spain,English,2019,2.58,19307,17,27599,6428,3297,95
1941,Comedy,Columbia Pictures,USA,English,1979,2.69,19323,19,30877,14038,3624,118
Cadet Kelly,TV Movie,Leider/Shapiro Productions,Canada,English,2002,2.64,25189,11,87377,7525,6063,101
My Hero Academia: Two Heroes,Adventure,BONES,Japan,Japanese,2018,3.27,31896,72,48723,6284,9613,96
Two for the Road,Comedy,Stanley Donen Films,UK,English,1967,3.85,12248,280,18617,10445,5540,112
Dragon Inn,Action,Union Film Company,Hong Kong,Chinese,1967,4.0,12527,63,17390,11485,6197,111
False Positive,Mystery,A24,USA,English,2021,2.36,19037,1,24747,9745,1982,93
An Officer and a Spy,Thriller,ToMmY K. PICTURES,France,French,2019,3.5,22964,12,32803,5461,4788,132
Eraser,Mystery,Kopelson Entertainment,Canada,English,1996,2.87,29563,4,55066,7562,5673,115
Conan the Destroyer,Action,Universal Pictures,USA,English,1984,2.88,26314,19,49710,8983,6394,103
Tigertail,Drama,MACRO,USA,English,2020,3.32,13360,23,17575,6228,3432,91
Pusher 3,Crime,NWR Film Productions,Denmark,Danish,2005,3.8,18719,113,26398,7424,6875,108
Speed 2: Cruise Control,Thriller,Blue Tulip Productions,USA,English,1997,1.82,32289,13,65912,6527,2518,125
Table 19,Drama,Story Ink,USA,English,2017,2.65,26338,25,43798,5832,4565,87
